Timepoint	Euryarchaeota	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	BRC1	Chloroflexi	Cyanobacteria	Firmicutes	Fusobacteria	Gemmatimonadetes	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	SPAM	Spirochaetes	SR1	Synergistetes	Tenericutes	Thermi	TM7	Verrucomicrobia	WPS-2
215	0	0	0.000158425880452	0	0.651280873244	0	0	1.58425880452e-05	0.3161942935	0	0	0	0	0	3.96064701129e-05	0	0	0	0	0.00190903185944	0	0	0.0304019264587	0
217	0	0	0.00301204819276	0	0.441473586655	0	0	0	0.473493975903	0	0	0	0	0	0.000231696014828	0	0	0	0	0.0593605189991	0	0	0.0224281742354	0
225	0	0	0.000774728360868	0	0.616625670624	0	0	0	0.352772559121	0	0	0	0	0	0.0024984989638	0	0	0	0	0.0172183378203	0	0	0.0101102051093	0
228	0	0	0.0019952692809	0	0.387355785477	0	0	0	0.501375770351	0	0	0	0	0	0.000852816708772	0	0	0	0	0.0713630585547	0	0	0.0370572996283	0
229	0	0	0.167786945303	0	0.1409321143	0	0	0	0.643464687331	0	0	0	0	0	0.00471472715109	0	0	0	0	0.0431015259151	0	0	0	0
230	0	0	0.132124529593	0	0.176154635648	0	0	0	0.65884365378	0	0	0	0	0	0.00371193978789	0	0	0	0	0.0291652411906	0	0	0	0
231	0	0	0.0959033613446	0	0.202415966387	0	0	0	0.642542016807	0	0	0	0	0	0.00430672268907	0	0	0	0	0.0548319327732	0	0	0	0
232	0	0	0.00179028455438	0	0.47173998008	0	0	1.26076377069e-05	0.460481359607	0	0	0	0	0	0.00253413517909	0	0	0	0	0.0243957789629	0	0	0.0390458539784	0
233	0	0	0.000628327278542	0	0.568419128567	0	0	0	0.414673155573	0	0	0	0	0	0.000845385792949	0	0	0	0	0.0153311855964	0	0	0.000102817191034	0
241	0	0	0.000395124768244	0	0.417900165142	0	0	0.0513966140847	0.520348925564	1.0131404314e-05	0	0	0	0	0.000222890894907	0	0	0	0	0.00860156226254	0	1.0131404314e-05	0.00111445447453	0
242	0	0	0.0013133701077	0	0.459262349542	0	0	0.0336377261701	0.479781826048	0	0	0	0	0	0.00344566510607	0	0	0	0	0.0186653069423	0	0	0.00389375608399	0
252	0	0	0.160294085276	0	0.16592925224	0	0	0.00123269277334	0.579035417905	0	0	0	0	0	0.0118206432015	0	0	0	0	0.0751062096899	0	0	0.00658169891479	0
318	0	0	0.0524318146544	0	0.221085603827	0	0	0.000790145753672	0.682220309568	0	0	0	0	0	0.00644815373979	0	0	0	0	0.0363890339058	0	0	0.000634938552058	0
