Timepoint	Euryarchaeota	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	BRC1	Chloroflexi	Cyanobacteria	Firmicutes	Fusobacteria	Gemmatimonadetes	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	SPAM	Spirochaetes	SR1	Synergistetes	Tenericutes	Thermi	TM7	Verrucomicrobia
20	0.0	0.0	0.0873387482084	0.0	0.241350533525	0.0	0.0	0.0	0.644204491161	0.0	0.0	0.0	0.0	0.0	0.00649147953496	0.0	0.0	0.0	0.0	0.0206147475713	0.0	0.0	0.0
21	0.0	0.0	0.0310536044363	0.0	0.321677029071	0.0	0.0	0.000974626113258	0.589463955638	0.0	0.0	0.0	0.0	0.0	0.00851957654176	0.0	0.0	0.0	0.0	0.0483112082003	0.0	0.0	0.0
22	0.0	0.0	0.077641906583	0.0	0.212586161699	0.0	0.0	2.57007304147e-05	0.67380118943	4.62613147466e-05	0.0	0.0	0.0	0.0	0.00363922342673	0.0	0.0	0.0	5.14014608295e-06	0.0322544166705	0.0	0.0	0.0
23	0.0	0.0	0.0312420267937	0.0	0.224396070064	0.0	0.0	5.91635020356e-05	0.641520945729	1.10931566317e-05	0.0	0.0	0.0	0.0	0.021565096492	0.0	0.0	0.0	4.06749076495e-05	0.0811612316362	0.0	3.69771887722e-06	0.0
24	0.0	0.0	0.0560126711822	0.0	0.316259985956	0.0	0.0	6.29780427054e-06	0.565930138458	0.0	0.0	0.0	0.0	0.0	0.0063387399983	0.0	0.0	0.0	3.14890213527e-06	0.0554458687979	0.0	3.14890213527e-06	0.0
25	0.0	0.0	0.0639115840141	0.0	0.284736208753	0.0	0.0	3.80011400342e-05	0.575197922604	0.0	0.0	0.0	0.0	0.0	0.0121350307176	0.0	0.0	0.0	0.0	0.0639749192475	0.0	6.33352333903e-06	0.0
26	0.0	0.0	0.128333741675	0.0	0.00420072610642	0.0	0.0	4.45464062187e-06	0.812731362897	0.0	0.0	0.0	0.0	0.0	0.00584894313651	0.0	0.0	0.0	0.0	0.0488674076219	0.0	8.90928124374e-06	4.45464062187e-06
27	0.0	0.0	0.0762510875135	0.0	0.278081685676	0.0	0.0	0.00019465996083	0.610449664509	4.7671827142e-05	0.0	0.0	0.0	0.0	0.0129707096349	0.0	0.0	0.0	0.0	0.022000548226	0.0	0.0	3.97265226183e-06
28	0.0	0.0	0.0805161752714	0.0	0.0844141834844	0.0	0.0	0.0	0.795661728946	0.0	0.0	0.0	0.0	0.0	0.00107871709456	0.0	0.0	0.0	0.0	0.0383291952039	0.0	0.0	0.0
29	9.98677750658e-06	1.99735550132e-06	0.0382353763617	0.0	0.22078567976	0.0	0.0	1.39814885092e-05	0.555206906056	1.99735550132e-06	0.0	0.0	0.0	0.0	0.00665518853039	0.0	0.0	0.0	5.19312430342e-05	0.179036955072	0.0	0.0	0.0
30	0.0	0.0	0.0974529872509	0.0	0.144521604076	0.0	0.0	2.79338972256e-06	0.688953261003	2.79338972256e-06	0.0	0.0	0.0	0.0	0.00473479557974	0.0	0.0	0.0	0.0	0.0643317653106	0.0	0.0	0.0
32	0.0	0.0	0.0412284812217	0.0	0.217572996766	0.0	0.0	3.84092428002e-06	0.648624565015	0.0	0.0	0.0	0.0	0.0	0.000710570991803	0.0	0.0	0.0	0.0	0.091859545081	0.0	0.0	0.0
33	0.0	0.0	0.0752256493563	0.0	0.191594151914	0.0	0.0	0.0	0.678044843606	0.0	0.0	0.0	0.0	0.0	0.0011381625917	0.0	0.0	0.0	0.0	0.0539971925323	0.0	0.0	0.0
34	0.0	0.0	0.0910852008913	0.0	0.305472547808	0.0	0.0	1.11815861639e-05	0.568262185832	0.0	0.0	0.0	0.0	0.0	0.00412600529448	0.0	0.0	0.0	0.0	0.0310428785876	0.0	0.0	0.0
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	0.0	0.0	0.0472482129366	0.0	0.274022845999	0.0	0.0	0.0	0.647243047081	1.93719610236e-05	0.0	0.0	0.0	0.0	0.0137992935692	0.0	0.0	0.0	0.0	0.0176672284535	0.0	0.0	0.0
37	0.0	0.0	0.0670941721361	0.0	0.272466417576	0.0	0.0	4.71166939158e-06	0.592313382555	0.0	0.0	0.0	0.0	0.0	0.0211318372212	0.0	0.0	0.0	0.0	0.0469894788423	0.0	0.0	0.0
38	0.0	0.0	0.0799649235859	0.0	0.201975041271	0.0	0.0	0.0	0.676516407192	0.0	0.0	0.0	0.0	0.0	0.00518838625244	0.0	0.0	0.0	0.0	0.0363519200683	0.0	3.3216301232e-06	0.0
39	0.0	0.0	0.064011483373	0.0	0.343589316858	0.0	0.0	0.0	0.568787554132	0.0	0.0	0.0	0.0	0.0	0.00818259672626	0.0	0.0	0.0	0.0	0.0154290489118	0.0	0.0	0.0
