Timepoint	Acidobacteria1	Chloracidobacteria	Solibacteres	unknown1226	Actinobacteria1	Bacteroidia	Flavobacteria	Sphingobacteria	4C0d-2	Chloroplast	Nostocophycideae	Bacilli	Clostridia	Fusobacteria1	Gemmatimonadetes1	Nitrospira	Planctomycea	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	0319-6G9	Spirochaetes1	Synergistia	Erysipelotrichi	Mollicutes	TM7-3	Spartobacteria	Verrucomicrobiae	unknown3507
0	0.0	0.0	0.0	0.0	0.00248217763032	0.466432099488	0.0	0.0	0.0	3.34300017551e-05	0.0	0.000927682548703	0.48629787803	0.0	0.0	0.0	0.0	1.67150008775e-05	1.67150008775e-05	1.67150008775e-05	8.35750043877e-06	0.000117005006143	0.0	0.0	0.0	0.011675428113	0.0287080140072	0.0	0.0	0.00326778267156	0.0
1	0.0	0.0	0.0	0.0	0.00204272207307	0.520860083266	4.8636239835e-06	0.0	0.0	1.9454495934e-05	0.0	0.000617680245905	0.462316641376	0.0	0.0	0.0	0.0	0.0	4.8636239835e-06	1.45908719505e-05	4.8636239835e-06	6.32271117855e-05	0.0	0.0	0.0	0.00525271390218	0.0082827516439	0.0	0.0	0.000515544142251	0.0
2	0.0	0.0	0.0	0.0	0.00121014174151	0.642786257145	0.0	3.76860749953e-05	0.0	4.60607583276e-05	0.0	0.000276364549965	0.344500973557	0.0	0.0	0.0	0.0	4.18734166614e-06	0.000309863283294	4.18734166614e-06	0.0	2.9311391663e-05	0.0	0.0	0.0	0.00350480497456	0.00705567070746	0.0	0.0	0.000234491133304	0.0
3	0.0	0.0	0.0	0.0	0.00122410091898	0.544929930775	0.0	0.0	0.0	3.01502689404e-05	0.0	0.000331652958345	0.434833208712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.03005378808e-06	6.6330591669e-05	0.0	0.0	0.0	0.00735063556767	0.0102209411708	0.0	0.0	0.00100701898261	0.0
4	0.0	0.0	0.0	0.0	0.000382189948404	0.626982610357	0.0	0.0	0.0	3.09883741949e-05	0.0	9.29651225847e-05	0.360301826764	0.0	0.0	0.0	0.0	0.0	0.000366695761307	3.61531032274e-05	0.0	4.64825612924e-05	0.0	0.0	0.0	0.00118272294844	0.0102829755037	0.0	0.0	0.000294389554852	0.0
5	0.0	0.0	0.0	0.0	0.00152570443305	0.507747629202	2.26870547666e-05	0.0	0.0	4.53741095331e-05	0.0	0.000453741095331	0.451075366396	0.0	0.0	0.0	0.0	0.0	0.000374336403648	0.000124778801216	1.13435273833e-05	0.000391351694723	0.0	0.0	0.0	0.00622759653342	0.0307409592086	0.0	0.0	0.00125913153954	0.0
6	0.0	0.0	0.0	0.0	0.00135235230742	0.692022804812	5.61142036272e-06	0.0	0.0	1.68342610881e-05	0.0	8.97827258037e-05	0.289863530257	0.0	0.0	0.0	0.0	5.61142036272e-06	0.000959552882025	5.61142036272e-06	0.0	0.00088660441731	0.0	0.0	0.0	0.00211550547675	0.0120140509966	0.0	0.0	0.000662147602801	0.0
7	0.0	0.0	0.0	0.0	0.00111937237948	0.613522211339	0.0	0.0	0.0	1.44746428382e-05	0.0	0.000323267023386	0.371062294038	0.0	0.0	0.0	0.0	0.0	9.64976189212e-06	0.0	4.82488094606e-06	0.000154396190274	0.0	0.0	0.0	0.002147072021	0.0112419726043	0.0	0.0	0.000400465118523	0.0
8	0.0	0.0	0.0	0.0	0.000848946480999	0.510098925847	1.17909233472e-05	0.0	0.0	2.9477308368e-06	0.0	0.00087547605853	0.474030491328	2.9477308368e-06	0.0	0.0	0.0	2.9477308368e-06	8.8431925104e-06	1.76863850208e-05	1.17909233472e-05	0.000159177465187	0.0	0.0	0.0	0.00560068858992	0.00688884696561	0.0	0.0	0.00143849264836	0.0
9	0.0	0.0	0.0	0.0	0.00100227283081	0.632773309171	0.0	0.0	0.0	1.2654959985e-05	0.0	0.000210072335751	0.345212122439	0.0	0.0	0.0	0.0	0.0	1.0123967988e-05	2.530991997e-06	2.530991997e-06	4.3026863949e-05	0.0	0.0	0.0	0.0018552171338	0.0183876568582	0.0	0.0	0.000488481455422	0.0
10	0.0	0.0	0.0	0.0	0.00385628979351	0.421161014071	1.28972902793e-05	0.0	0.0	1.28972902793e-05	0.0	0.000816828384357	0.547275017519	4.29909675977e-06	0.0	0.0	0.0	3.43927740781e-05	0.000670659094524	4.29909675977e-06	0.0	0.00331460360178	0.0	0.0	0.0	0.00950530293585	0.0110615759629	0.0	0.0	0.00226992308915	0.0
11	0.0	0.0	0.0	0.0	0.0053612064643	0.45668332516	0.0	0.0	0.0	0.0	0.0	0.000603342351326	0.518147105335	0.0	0.0	0.0	0.0	0.0	2.7549879056e-06	2.7549879056e-06	2.7549879056e-06	2.20399032448e-05	0.0	0.0	0.0	0.0108078175537	0.00808313451504	0.0	0.0	0.000283763754277	0.0
12	0.0	0.0	0.0	0.0	0.00453805223784	0.498206129719	0.0	0.0	0.0	0.0	0.0	0.000820533430458	0.471526234045	0.0	0.0	0.0	0.0	0.0	4.18639505336e-06	0.0	0.0	2.51183703202e-05	0.0	0.0	0.0	0.00959103106724	0.0134257689361	0.0	0.0	0.00186294579875	0.0
13	0.0	0.0	0.0	0.0	0.00384982386231	0.447980867906	1.20025685497e-05	0.0	0.0	3.00064213742e-06	0.0	0.000501107236949	0.525691497981	0.0	0.0	0.0	0.0	3.90083477864e-05	8.70186219851e-05	6.00128427483e-06	6.00128427484e-06	0.000132028254046	0.0	0.0	0.0	0.00810173377102	0.0121225942352	0.0	0.0	0.0014673140052	0.0
14	0.0	0.0	0.0	0.0	0.00183198031267	0.682896464084	6.45063490374e-06	0.0	0.0	0.0	0.0	0.000170941824949	0.295690653353	0.0	0.0	0.0	0.0	0.0	6.45063490374e-06	6.45063490374e-06	3.22531745187e-06	2.5802539615e-05	0.0	0.0	0.0	0.00213193483568	0.0167232709879	0.0	0.0	0.000506374839943	0.0
15	0.0	0.0	0.0	0.0	0.00718484650555	0.488952453884	0.0	0.0	0.0	0.0	0.0	0.000743259983334	0.476767494763	0.0	0.0	0.0	0.0	0.0	0.000157661208586	0.0	2.2523029798e-05	0.000180184238384	0.0	0.0	0.0	0.0043919908106	0.0125453275975	0.0	0.0	0.00905425797879	0.0
