Timepoint	Acidobacteriales	unknown	Solibacterales	unknown1	Acidimicrobiales	Actinomycetales	Bifidobacteriales	Coriobacteriales	MC47	Solirubrobacterales	Bacteroidales	Flavobacteriales	Sphingobacteriales	mle1-12	YS2	Streptophyta	Nostocales	Bacillales	Gemellales	Lactobacillales	Turicibacterales	Clostridiales	Fusobacteriales	Gemmatimonadales	Nitrospirales	Gemmatales	Planctomycetales	Caulobacterales	Rhizobiales	Rhodobacterales	Rhodospirillales	Rickettsiales	Sphingomonadales	unknown2	Burkholderiales	Hydrogenophilales	Methylophilales	Neisseriales	Rhodocyclales	unknown3	Bdellovibrionales	Desulfovibrionales	MIZ46	Myxococcales	Syntrophobacterales	Campylobacterales	Aeromonadales	Alteromonadales	Chromatiales	Enterobacteriales	Oceanospirillales	Pasteurellales	Pseudomonadales	unknown4	Vibrionales	Xanthomonadales	unknown5	Spirochaetales	Synergistales	Erysipelotrichales	RF39	EW055	Spartobacteriales	Verrucomicrobiales	unknown6
64	0.0	0.0	0.0	0.0	0.0	2.27686703097e-05	0.0	0.00284608378871	0.0	0.0	0.527846083789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000318761384335	9.10746812386e-05	0.44480874317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55373406193e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27686703097e-05	0.0	0.0	0.000523679417122	0.0	0.0	2.27686703097e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00623861566484	0.0116347905282	0.0	0.0	0.00557832422586	0.0
65	0.0	0.0	0.0	0.0	0.0	6.01956358164e-05	0.0	0.00761474793078	0.0	0.0	0.489541008276	0.000150489089541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00051166290444	0.0	0.487012791573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000842738901429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000180586907449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00559819413093	0.00349134687735	0.0	0.0	0.00499623777277	0.0
66	0.0	0.0	0.0	0.0	0.0	0.00017353077279	0.0	0.00566867191115	0.0	0.0	0.545869967608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000404905136511	0.0	0.411730680241	0.0	0.0	0.0	0.0	0.0	0.0	0.000896575659417	0.0	0.0	0.0	0.0	0.0	0.00199560388709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141716797779	0.0	0.0	0.0	0.0	0.0	0.00011568718186	0.0	0.0	0.0	0.00321031929662	0.0232531235539	0.0	0.0	0.00526376677465	0.0
67	0.0	0.0	0.0	0.0	0.0	2.57267815796e-05	0.0	0.00671468999229	0.0	0.0	0.455955749936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00128633907898	0.0	0.518549009519	0.0	0.0	0.0	0.0	0.0	0.0	0.000463082068433	0.0	0.0	0.0	0.00118343195267	0.0	0.00324157447903	0.0	0.0	0.0	0.000180087471058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.71803447389e-05	0.0	0.0	0.000180087471057	0.0	0.0	0.0	0.0	0.0	0.0	0.00432209930537	0.00496526884487	0.0	0.0	0.00285567275534	0.0
68	0.0	0.0	0.0	0.0	0.0	2.2774892958e-05	0.0	0.00405393094652	0.0	0.0	0.358294616016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2774892958e-05	0.00045549785916	0.0	0.619226564635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00232303908172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2774892958e-05	0.0	0.0	0.000888220825362	0.0	0.0	0.0	0.00951990525645	0.00291518629862	0.0	0.0	0.00225471440285	0.0
69	0.0	0.0	0.0	0.0	0.0	2.1716941386e-05	0.0	0.00484287792907	0.0	0.0	0.393402393207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000586357417422	0.0	0.585727626121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000825243772667	0.0	0.0	0.0	0.0	0.0	0.0	2.1716941386e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000173735531088	0.0	0.0	0.0	0.00729689230569	0.00453884074967	0.0	0.0	0.00256259908354	0.0
70	0.0	0.0	0.0	0.0	0.0	1.4018757097e-05	0.0	0.00193458847938	0.0	0.0	0.558745601614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000154206328067	1.4018757097e-05	0.42848331067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000616825312268	0.0	0.0	0.0	1.4018757097e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4018757097e-05	0.0	0.0	2.8037514194e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00264954509134	0.00660283459269	0.0	0.0	0.000728975369044	0.0
71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00500095681571	0.0	0.0	0.528468456975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000191363143458	0.00014033297187	0.458110607897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000803725202526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82726286917e-05	0.0	0.0	0.0	0.0	0.0	1.27575428972e-05	0.0	0.0	0.0	0.00353383938253	0.00149263251898	0.0	0.0	0.00220705492122	0.0
72	0.0	0.0	0.0	0.0	0.0	0.000241527141612	0.0	0.00514970369796	0.0	0.0	0.470986552114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000327786835046	8.6259693433e-05	0.502065919658	8.6259693433e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00169931596063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000250153110956	0.0	0.0	0.00086259693433	8.6259693433e-06	0.0	0.000284656988329	0.0	0.0	0.0	0.00421809900888	0.00440787033443	0.0	0.0	0.0094023065842	0.0
73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00362357293388	0.0	0.0	0.474475794836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000545810149037	0.0	0.511424109647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51613930288e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51613930288e-05	0.0	0.0	3.03227860576e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0048971299483	0.00184968994951	0.0	0.0	0.00312324696393	0.0
