Timepoint	Acidobacteriales	Actinomycetales	Bifidobacteriales	Coriobacteriales	Bacteroidales	Flavobacteriales	Sphingobacteriales	mle1-12	YS2	Stramenopiles	Streptophyta	Bacillales	Lactobacillales	Turicibacterales	Clostridiales	Fusobacteriales	Caulobacterales	Rhizobiales	Rhodobacterales	Rhodospirillales	Sphingomonadales	Burkholderiales	Neisseriales	Rhodocyclales	Desulfovibrionales	MIZ46	Myxococcales	Campylobacterales	Aeromonadales	Enterobacteriales	Pasteurellales	Pseudomonadales	Xanthomonadales	Erysipelotrichales	RF39	Verrucomicrobiales
10	0	0.000203189372495089	0.0860612090469165	0.00142933213755035	0.310928785628168	0	0	0	0	0	0	0	0.00805750959895631	1.40130601720544e-05	0.554706986911734	0	0	0	0	0	0	0.000749698719206813	0	0	0.000721672598862904	0	0	1.40130601720544e-05	0	2.10195902580817e-05	0.000665620358175086	0	0	0.0364269499173328	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	1.57886842499578e-05	0.0448477576121509	0.000339456711375193	0.426768135277142	0	0	0.000907849344375075	0	0	0	0.000276301974374762	0.00127888342424798	2.36830263750367e-05	0.482383775548255	0	0.000852588949500323	0.00152360803012303	0	0	0.000552603948750524	0.0116204716080274	0	7.89434212499891e-06	0.00516289974975001	0	0	0	0	0.000939426712874791	0.000197358553124973	0.00188674776787826	0.00198937421549909	0.0184253945198006	0	0
13	0	0.000208140508128686	0.0539349627339755	0.00084141907541341	0.233821504014712	0	0	0	4.42852144954373e-06	0	4.42852144954373e-06	4.42852144954373e-06	0.00176255153691483	3.09996501467361e-05	0.666461478505962	0	0	0.000358710237412032	0	0	0	0.000743991603522067	0	0	0.00167398110791815	0	0	0	0	8.41419075412409e-05	3.09996501467361e-05	2.65711286972024e-05	0	0.0400028342537116	4.42852144954373e-06	0
14	0	0.000237041719343491	0.015360303413395	0.00052149178255388	0.340415613147815	7.90139064476304e-06	0	0	0	0	0	7.11125158028473e-05	0.00102718078381779	0	0.59536188369156	0.00026074589127744	0	0	0	0	9.48166877371965e-05	0.00798830594185485	0	7.90139064476304e-06	0.00111409608090961	0	0	2.37041719343491e-05	0	5.53097345133813e-05	0.00672408343868756	0.000387168141593169	0	0.0303413400759149	0	0
15	0	8.25418487173627e-05	0.0655272223017116	0.000308156235212261	0.229653434290809	0.000308156235212261	0	0	0	0	1.1005579828995e-05	0.000121061378118745	0.0103672561989429	7.15362688883677e-05	0.578739420886609	5.50278991448752e-05	0	0.000231117176408696	0	0	8.25418487173627e-05	0.00359882460407898	5.50278991448752e-06	1.1005579828995e-05	0.000621815260337419	0	0	0.000247625546151388	5.50278991448752e-06	3.85195294014826e-05	0.0837579652884491	0.000247625546152388	0	0.0259071349174495	0	0
16	0	0.000342219292110002	0.0564359873781148	0.000956200963247976	0.375142801064853	0	0	0	0	0	0	0	0.00226971912854817	5.03263664867356e-06	0.531013623347551	5.03263664867356e-06	0	0	0	0	0	0.00854038439278982	0	0	0.00295415771276818	0	0	2.01305465946942e-05	0	0.000291892925622266	0.00110214742606111	1.50979099460207e-05	0	0.0209055726384955	0	0
17	0	0.00203931154967662	0.069947721883145	0.000836981287489427	0.284799489840115	1.32854172617369e-05	0	0	0	0	1.32854172617369e-05	0.00030556459701995	0.0100703462844366	6.64270863086847e-06	0.550640689247271	6.64270863086847e-06	0	6.64270863086847e-06	0	0	0	0.00882815977042419	0	6.64270863086847e-06	0.00209909592735444	0	0	2.65708345234739e-05	0	0.0100437754498531	0.000637700028563373	7.97125035704216e-05	0.000265708345234739	0.0593260307822763	0	0
18	0	0.000107870758141059	0.0996789258611543	0.000355338967994194	0.255184141729139	0	0	0	0	0	0	0	0.00139597451712076	0	0.622522145232339	0	0.000298230919566162	0.000437828371279238	0	0	0	0.00290616513110158	0	0	0.000494936419706269	0	0	1.26906774284069e-05	0	0.000602807177848328	0.000526663113277287	0.000685296581132373	0.000431483032564235	0.0143595015102078	0	0
19	0	0.0105876124933344	0.118174044061154	4.07215865130323e-05	0.0670684529868629	0	0.00574174369833365	0	0	0	0	0.00175102822006069	0.00171030663354556	0.000203607932564661	0.688968522213303	0	0	0.0112391578775965	0	0.00777782302398027	0	0.0261025369548198	0	0	8.14431730260646e-05	0.00134381235492937	0	8.14431730259646e-05	0	4.07215865130323e-05	0.00134381235492937	0.0423911715600727	0.00333917009407085	0.012012868021364	0	0
20	0	0.0020524718900557	0.085024604166156	0.000312332678921388	0.24149052803387	0	0	0	0	0	0	0.000299584406312434	0.002670763111599	0.000101986180872637	0.641499451823829	0	0	0.000790392901761187	0	0	0	0.00386910073684673	0	0	0.000133856862395024	0	0	1.27482726090546e-05	0	1.27482726090546e-05	0.000650161903061686	0.000452563677620889	0	0.0206267050814806	0	0
21	0	0.000201670504007829	0.0304522461052792	0.000403341008017659	0.321714871519442	0	0	0	1.68058753340691e-05	0	0.00095793489403944	0	0.00405021595549616	1.68058753340691e-05	0.585365443758722	0	0.000554593886022781	0	0	0	0	0.00368048669815564	0.000789876140698749	0	3.36117506681382e-05	0	0	5.04176260021074e-05	0	5.04176260022074e-05	0.00235282254675968	0.000991546644707578	0	0.0483168915853112	0	0
22	0	0.000205617469259885	0.0772196405805749	0.000221038779454526	0.212593041904964	5.14043673149713e-06	0	0	0	0	2.57021836574356e-05	3.59830571205299e-05	0.00187111897027115	0	0.671880782991352	4.62639305835241e-05	0	0	0	0	0	0.000611711971048108	1.02808734629943e-05	0	2.57021836575356e-05	0	0	5.65448040465184e-05	0	4.62639305834241e-05	0.00282724020232092	6.16852407779655e-05	0	0.0322562404901332	0	0
23	0	0.000924600664971978	0.0297129669695219	0.000610236438881545	0.224426470207612	1.10952079796917e-05	0	0	0	0	5.91744425582226e-05	0.000395729084608039	0.00606538036221882	0.000203412146293515	0.634834514973043	1.10952079796917e-05	0.000122047287775909	3.69840265988391e-06	0.000484490748444972	0	3.69840265988391e-06	0.00451574964772264	3.69840265988391e-06	0	0.000299570615450777	0	0	4.43808319185669e-05	0	7.02696505379143e-05	0.0151301652815781	0.000891315041033003	0	0.0811762399818902	0	0
24	0	0.000525881560136138	0.0550821571851044	0.00040621988777007	0.316253204098525	1.57449568902562e-05	0	0	0	0	6.29798275612249e-06	0.000333793086074872	0.00321826918838265	0.000670735163527535	0.561701337061888	0	3.14899137806124e-06	0	0	0	0	0.00153355880111934	1.2595965512265e-05	3.14899137806124e-06	0.00350167841240386	0	0	1.57449568902562e-05	0	0.000141704612012606	0.000702225077307447	0.000223578387843178	0.00020153544819664	0.0554442911935254	3.14899137806124e-06	0
25	0	0.000221698591263807	0.062455660281725	0.00124151211107772	0.283451150298784	0.00131752305665554	0	0	0	0	3.16712273233581e-05	0.00153288740244769	0.00183059693929332	1.90027363940549e-05	0.571786003851446	0	0	0	0	0	6.33424546468162e-06	0.00758842606670064	0	0	0.00283140772271628	0	0	6.33424546468162e-06	0	0.000785446437620801	1.26684909294032e-05	0.000354717746022491	0.000544745109963039	0.063982213438707	0	0
26	0	0.000507860703610208	0.126907261962501	0.000926623038165363	0.0041920782640124	4.4549184527227e-06	4.4549184527227e-06	0	0	0	4.4549184527227e-06	4.4549184527227e-06	0.00324318063358077	8.90983690544541e-06	0.809480957451091	0	0	0.000681602523266464	0	4.4549184527227e-06	0	0.00408070530269108	0	8.90983690544541e-06	8.01885321489487e-05	0	0	4.4549184527227e-06	0	8.46434506016014e-05	0.000441036926819418	0.000454401682177976	0	0.0488704554263542	0	4.4549184527227e-06
27	0	0.000687315259193971	0.0742936147220576	0.00127530750405536	0.277409179035503	0.000691288179766514	0	0	0	0	0.000194673108095616	1.19187617201296e-05	0.00540317197977873	0.000345644089883257	0.60467056542625	4.76750468805182e-05	0	0	0	0	0	0.00610240600070033	0	0	0.000679369418046885	0.000444967104217837	0	0.000162889743508271	0	0.000345644089883257	0.00468804627658096	0.000341671169309714	0.000198646028669159	0.0220020341353262	0	3.97292057337319e-06
28	0	0.000343767028353582	0.0788616191426305	0.00132021167271884	0.084365548692425	1.09712881389973e-05	4.75422486020549e-05	0	0	0	0	6.2170632787318e-05	0.00428611656627227	1.4628384185263e-05	0.791274900252808	0	0	0	0	0	0	0.000255996723242603	0	0	0.000252339627195438	0	0	7.31419209262152e-06	0	0.000460794101834886	5.85135367409522e-05	4.38851525557891e-05	0	0.0383336807574155	0	0
29	0	0.000361596458352303	0.037424234554187	0.000457489441783632	0.220829554217038	1.99777048813935e-06	0	0	1.99777048813935e-06	0	1.19866229288161e-05	0	0.00299465796171221	0.000243727999552961	0.551950023773412	1.99777048813935e-06	0	0	0	0	0.000137846163681535	0.00185992432445882	0	3.99554097626871e-06	0.000779130490372548	0	0	3.99554097627871e-06	0	0.00348211396082614	0.000333627671518832	4.79464917152645e-05	0	0.179066162163579	5.99331146440806e-06	0
30	0	0.000849218942052799	0.0962606431716208	0.000346391936890208	0.144515274766837	1.11739334480131e-05	0	0	0	0	2.79348336201329e-06	0.000301696203096955	0.00268453751089461	2.79348336201329e-06	0.685956600442591	2.79348336201329e-06	0	0.000164815518358744	0	2.79348336201329e-06	0	0.002421950074866	2.79348336201329e-06	0	7.54240507743388e-05	0	0	2.79348336201329e-06	0	0.000569870605850471	0.000865979842224519	0.000625740273090536	0	0.0643311283438697	2.79348336201329e-06	0
32	0	0.000349585875194173	0.0401370683958503	0.000749112589700513	0.217599920094479	1.15248090723694e-05	0	0	0	0	3.84160302410981e-06	2.68912211688287e-05	0.00420271370837425	0.000103723281651425	0.644229143937373	0	0	0	3.84160302410981e-06	0	0	0.000299645035880005	0	0	9.21984725785555e-05	0	0	0	0	0.00021128816632594	4.60992362893777e-05	5.76240453616472e-05	0	0.0918757779246519	0	0
