Timepoint	Archaea	Bacteria
349	0.0	1.0
350	0.0	1.0
351	0.0	1.0
352	0.0	1.0
353	0.0	1.0
354	0.0	1.0
355	0.0	1.0
356	0.0	1.0
357	0.0	1.0
358	0.0	1.0
359	0.0	1.0
360	0.0	1.0
361	0.000158142771294	0.999841857229
364	0.0	1.0
